Pair.Name	Ligand.ApprovedSymbol	Ligand.Name	Receptor.ApprovedSymbol	Receptor.Name	Classification
GNAS_ADCY1	GNAS	GNAS complex locus	ADCY1	adenylate cyclase 1 (brain)	other
GNAS_ADCY7	GNAS	GNAS complex locus	ADCY7	adenylate cyclase 7	other
GNAS_ADCY8	GNAS	GNAS complex locus	ADCY8	adenylate cyclase 8 (brain)	other
GNAS_ADCY9	GNAS	GNAS complex locus	ADCY9	adenylate cyclase 9	other
GNAS_ADORA1	GNAS	GNAS complex locus	ADORA1	adenosine A1 receptor	other
GNAS_ADRB3	GNAS	GNAS complex locus	ADRB3	adrenoceptor beta 3	other
GNAS_AVPR2	GNAS	GNAS complex locus	AVPR2	arginine vasopressin receptor 2	other
GNAS_CRHR1	GNAS	GNAS complex locus	CRHR1	corticotropin releasing hormone receptor 1	other
GNAS_GCGR	GNAS	GNAS complex locus	GCGR	glucagon receptor	other
GNAS_GLP1R	GNAS	GNAS complex locus	GLP1R	glucagon-like peptide 1 receptor	other
GNAS_HTR6	GNAS	GNAS complex locus	HTR6	5-hydroxytryptamine (serotonin) receptor 6, G protein-coupled	other
GNAS_LHCGR	GNAS	GNAS complex locus	LHCGR	luteinizing hormone/choriogonadotropin receptor	other
GNAS_PTGDR	GNAS	GNAS complex locus	PTGDR	prostaglandin D2 receptor (DP)	other
GNAS_PTGIR	GNAS	GNAS complex locus	PTGIR	prostaglandin I2 (prostacyclin) receptor (IP)	other
GNAS_TSHR	GNAS	GNAS complex locus	TSHR	thyroid stimulating hormone receptor	other
GNAS_VIPR1	GNAS	GNAS complex locus	VIPR1	vasoactive intestinal peptide receptor 1	other
GNB3_GABBR2	GNB3	guanine nucleotide binding protein (G protein), beta polypeptide 3	GABBR2	gamma-aminobutyric acid (GABA) B receptor, 2	other
GNB3_TGFBR1	GNB3	guanine nucleotide binding protein (G protein), beta polypeptide 3	TGFBR1	transforming growth factor, beta receptor 1	other
GNRH1_GNRHR	GNRH1	gonadotropin-releasing hormone 1 (luteinizing-releasing hormone)	GNRHR	gonadotropin-releasing hormone receptor	other
GNRH2_GNRHR	GNRH2	gonadotropin-releasing hormone 2	GNRHR	gonadotropin-releasing hormone receptor	other
GPC3_CD81	GPC3	glypican 3	CD81	CD81 molecule	other
GPC3_IGF1R	GPC3	glypican 3	IGF1R	insulin-like growth factor 1 receptor	other
GPHA2_TSHR	GPHA2	glycoprotein hormone alpha 2	TSHR	thyroid stimulating hormone receptor	other
GPI_AMFR	GPI	glucose-6-phosphate isomerase	AMFR	autocrine motility factor receptor, E3 ubiquitin protein ligase	other
GREM1_KDR	GREM1	gremlin 1, DAN family BMP antagonist	KDR	kinase insert domain receptor (a type III receptor tyrosine kinase)	other
GRP_BRS3	GRP	gastrin-releasing peptide	BRS3	bombesin-like receptor 3	other
GRP_GRPR	GRP	gastrin-releasing peptide	GRPR	gastrin-releasing peptide receptor	other
GRP_NMBR	GRP	gastrin-releasing peptide	NMBR	neuromedin B receptor	other
GSTP1_TRAF2	GSTP1	glutathione S-transferase pi 1	TRAF2	TNF receptor-associated factor 2	other
GUCA2A_GUCY2C	GUCA2A	guanylate cyclase activator 2A (guanylin)	GUCY2C	guanylate cyclase 2C (heat stable enterotoxin receptor)	other
GUCA2B_GUCY2C	GUCA2B	guanylate cyclase activator 2B (uroguanylin)	GUCY2C	guanylate cyclase 2C (heat stable enterotoxin receptor)	other
GUCA2B_GUCY2D	GUCA2B	guanylate cyclase activator 2B (uroguanylin)	GUCY2D	guanylate cyclase 2D, membrane (retina-specific)	other
GZMB_CHRM3	GZMB	granzyme B (granzyme 2, cytotoxic T-lymphocyte-associated serine esterase 1)	CHRM3	cholinergic receptor, muscarinic 3	other
GZMB_IGF2R	GZMB	granzyme B (granzyme 2, cytotoxic T-lymphocyte-associated serine esterase 1)	IGF2R	insulin-like growth factor 2 receptor	other
GZMB_PGRMC1	GZMB	granzyme B (granzyme 2, cytotoxic T-lymphocyte-associated serine esterase 1)	PGRMC1	progesterone receptor membrane component 1	other
HAS2_CD44	HAS2	hyaluronan synthase 2	CD44	CD44 molecule (Indian blood group)	other
HAS2_HMMR	HAS2	hyaluronan synthase 2	HMMR	hyaluronan-mediated motility receptor (RHAMM)	other
HBEGF_CD44	HBEGF	heparin-binding EGF-like growth factor	CD44	CD44 molecule (Indian blood group)	growth factor
HBEGF_CD82	HBEGF	heparin-binding EGF-like growth factor	CD82	CD82 molecule	growth factor
HBEGF_CD9	HBEGF	heparin-binding EGF-like growth factor	CD9	CD9 molecule	growth factor
HBEGF_EGFR	HBEGF	heparin-binding EGF-like growth factor	EGFR	epidermal growth factor receptor	growth factor
HBEGF_ERBB2	HBEGF	heparin-binding EGF-like growth factor	ERBB2	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 2	growth factor
HBEGF_ERBB4	HBEGF	heparin-binding EGF-like growth factor	ERBB4	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 4	growth factor
HBEGF_PRLR	HBEGF	heparin-binding EGF-like growth factor	PRLR	prolactin receptor	growth factor
HCRT_HCRTR1	HCRT	hypocretin (orexin) neuropeptide precursor	HCRTR1	hypocretin (orexin) receptor 1	other
HCRT_HCRTR2	HCRT	hypocretin (orexin) neuropeptide precursor	HCRTR2	hypocretin (orexin) receptor 2	other
HCRT_NPFFR2	HCRT	hypocretin (orexin) neuropeptide precursor	NPFFR2	neuropeptide FF receptor 2	other
HDC_HRH1	HDC	histidine decarboxylase	HRH1	histamine receptor H1	other
HDC_HRH2	HDC	histidine decarboxylase	HRH2	histamine receptor H2	other
HDC_HRH3	HDC	histidine decarboxylase	HRH3	histamine receptor H3	other
HDC_HRH4	HDC	histidine decarboxylase	HRH4	histamine receptor H4	other
HEBP1_FPR3	HEBP1	heme binding protein 1	FPR3	formyl peptide receptor 3	other
HGF_CD44	HGF	hepatocyte growth factor (hepapoietin A; scatter factor)	CD44	CD44 molecule (Indian blood group)	growth factor
HGF_MET	HGF	hepatocyte growth factor (hepapoietin A; scatter factor)	MET	met proto-oncogene	growth factor
HGF_SDC1	HGF	hepatocyte growth factor (hepapoietin A; scatter factor)	SDC1	syndecan 1	growth factor
HGF_SDC2	HGF	hepatocyte growth factor (hepapoietin A; scatter factor)	SDC2	syndecan 2	growth factor
HGF_ST14	HGF	hepatocyte growth factor (hepapoietin A; scatter factor)	ST14	suppression of tumorigenicity 14 (colon carcinoma)	growth factor
HHIPL2_CACHD1	HHIPL2	HHIP-like 2	CACHD1	cache domain containing 1	other
HHLA3_CHRM3	HHLA3	HERV-H LTR-associating 3	CHRM3	cholinergic receptor, muscarinic 3	other
HLA-A_APLP2	HLA-A	major histocompatibility complex, class I, A	APLP2	amyloid beta (A4) precursor-like protein 2	other
HLA-A_CD3D	HLA-A	major histocompatibility complex, class I, A	CD3D	CD3d molecule, delta (CD3-TCR complex)	other
HLA-A_CD3G	HLA-A	major histocompatibility complex, class I, A	CD3G	CD3g molecule, gamma (CD3-TCR complex)	other
HLA-A_ERBB2	HLA-A	major histocompatibility complex, class I, A	ERBB2	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 2	other
HLA-A_KIR2DL1	HLA-A	major histocompatibility complex, class I, A	KIR2DL1	killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 1	other
HLA-A_KIR2DL3	HLA-A	major histocompatibility complex, class I, A	KIR2DL3	killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 3	other
HLA-A_KIR3DL1	HLA-A	major histocompatibility complex, class I, A	KIR3DL1	killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 1	other
HLA-A_KIR3DL2	HLA-A	major histocompatibility complex, class I, A	KIR3DL2	killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 2	other
HLA-A_LILRB1	HLA-A	major histocompatibility complex, class I, A	LILRB1	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 1	other
HLA-A_LILRB2	HLA-A	major histocompatibility complex, class I, A	LILRB2	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 2	other
HLA-B_CANX	HLA-B	major histocompatibility complex, class I, B	CANX	calnexin	other
HLA-B_CD3D	HLA-B	major histocompatibility complex, class I, B	CD3D	CD3d molecule, delta (CD3-TCR complex)	other
HLA-B_CD3G	HLA-B	major histocompatibility complex, class I, B	CD3G	CD3g molecule, gamma (CD3-TCR complex)	other
HLA-B_KIR2DL3	HLA-B	major histocompatibility complex, class I, B	KIR2DL3	killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 3	other
HLA-B_KIR3DL1	HLA-B	major histocompatibility complex, class I, B	KIR3DL1	killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 1	other
HLA-B_KLRD1	HLA-B	major histocompatibility complex, class I, B	KLRD1	killer cell lectin-like receptor subfamily D, member 1	other
HLA-B_LILRB1	HLA-B	major histocompatibility complex, class I, B	LILRB1	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 1	other
HLA-B_LILRB2	HLA-B	major histocompatibility complex, class I, B	LILRB2	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 2	other
HLA-C_CD3D	HLA-C	major histocompatibility complex, class I, C	CD3D	CD3d molecule, delta (CD3-TCR complex)	other
HLA-C_CD3G	HLA-C	major histocompatibility complex, class I, C	CD3G	CD3g molecule, gamma (CD3-TCR complex)	other
HLA-C_DDR1	HLA-C	major histocompatibility complex, class I, C	DDR1	discoidin domain receptor tyrosine kinase 1	other
HLA-C_KIR2DL1	HLA-C	major histocompatibility complex, class I, C	KIR2DL1	killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 1	other
HLA-C_KIR2DL3	HLA-C	major histocompatibility complex, class I, C	KIR2DL3	killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 3	other
HLA-C_KIR2DS4	HLA-C	major histocompatibility complex, class I, C	KIR2DS4	killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 4	other
HLA-C_KIR3DL1	HLA-C	major histocompatibility complex, class I, C	KIR3DL1	killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 1	other
HLA-C_LILRA3	HLA-C	major histocompatibility complex, class I, C	LILRA3	leukocyte immunoglobulin-like receptor, subfamily A (without TM domain), member 3	other
HLA-C_LILRB1	HLA-C	major histocompatibility complex, class I, C	LILRB1	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 1	other
HLA-C_LILRB2	HLA-C	major histocompatibility complex, class I, C	LILRB2	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 2	other
HLA-C_NOTCH4	HLA-C	major histocompatibility complex, class I, C	NOTCH4	notch 4	other
HLA-C_SLC9C2	HLA-C	major histocompatibility complex, class I, C	SLC9C2	solute carrier family 9, member C2 (putative)	other
HLA-E_KIR3DL1	HLA-E	major histocompatibility complex, class I, E	KIR3DL1	killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 1	other
HLA-E_KLRC1	HLA-E	major histocompatibility complex, class I, E	KLRC1	killer cell lectin-like receptor subfamily C, member 1	other
HLA-E_KLRC2	HLA-E	major histocompatibility complex, class I, E	KLRC2	killer cell lectin-like receptor subfamily C, member 2	other
HLA-E_KLRD1	HLA-E	major histocompatibility complex, class I, E	KLRD1	killer cell lectin-like receptor subfamily D, member 1	other
HLA-E_SLC16A4	HLA-E	major histocompatibility complex, class I, E	SLC16A4	solute carrier family 16, member 4	other
HLA-G_CD4	HLA-G	major histocompatibility complex, class I, G	CD4	CD4 molecule	other
HLA-G_KIR2DL4	HLA-G	major histocompatibility complex, class I, G	KIR2DL4	killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 4	other
HLA-G_KLRC1	HLA-G	major histocompatibility complex, class I, G	KLRC1	killer cell lectin-like receptor subfamily C, member 1	other
HLA-G_KLRD1	HLA-G	major histocompatibility complex, class I, G	KLRD1	killer cell lectin-like receptor subfamily D, member 1	other
HLA-G_LILRB1	HLA-G	major histocompatibility complex, class I, G	LILRB1	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 1	other
HLA-G_LILRB2	HLA-G	major histocompatibility complex, class I, G	LILRB2	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 2	other
HMGB1_SDC1	HMGB1	high mobility group box 1	SDC1	syndecan 1	other
HMGB1_THBD	HMGB1	high mobility group box 1	THBD	thrombomodulin	other
HP_ASGR1	HP	haptoglobin	ASGR1	asialoglycoprotein receptor 1	other
HP_ASGR2	HP	haptoglobin	ASGR2	asialoglycoprotein receptor 2	other
HP_ITGAM	HP	haptoglobin	ITGAM	integrin, alpha M (complement component 3 receptor 3 subunit)	other
HP_ITGB2	HP	haptoglobin	ITGB2	integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)	other
HRAS_AGTR1	HRAS	Harvey rat sarcoma viral oncogene homolog	AGTR1	angiotensin II receptor, type 1	other
HRAS_CAV1	HRAS	Harvey rat sarcoma viral oncogene homolog	CAV1	caveolin 1, caveolae protein, 22kDa	other
HRAS_GRIN2D	HRAS	Harvey rat sarcoma viral oncogene homolog	GRIN2D	glutamate receptor, ionotropic, N-methyl D-aspartate 2D	other
HRAS_INSR	HRAS	Harvey rat sarcoma viral oncogene homolog	INSR	insulin receptor	other
HRAS_SDC2	HRAS	Harvey rat sarcoma viral oncogene homolog	SDC2	syndecan 2	other
HRAS_TLR2	HRAS	Harvey rat sarcoma viral oncogene homolog	TLR2	toll-like receptor 2	other
HRAS_TLR9	HRAS	Harvey rat sarcoma viral oncogene homolog	TLR9	toll-like receptor 9	other
HRG_FCGR1A	HRG	histidine-rich glycoprotein	FCGR1A	Fc fragment of IgG, high affinity Ia, receptor (CD64)	other
HSP90AA1_CFTR	HSP90AA1	heat shock protein 90kDa alpha (cytosolic), class A member 1	CFTR	cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)	other
HSP90AA1_EGFR	HSP90AA1	heat shock protein 90kDa alpha (cytosolic), class A member 1	EGFR	epidermal growth factor receptor	other
HSP90AA1_FGFR3	HSP90AA1	heat shock protein 90kDa alpha (cytosolic), class A member 1	FGFR3	fibroblast growth factor receptor 3	other
HSP90B1_ASGR1	HSP90B1	heat shock protein 90kDa beta (Grp94), member 1	ASGR1	asialoglycoprotein receptor 1	other
HSP90B1_ERBB2	HSP90B1	heat shock protein 90kDa beta (Grp94), member 1	ERBB2	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 2	other
HSP90B1_LRP1	HSP90B1	heat shock protein 90kDa beta (Grp94), member 1	LRP1	low density lipoprotein receptor-related protein 1	other
HSP90B1_TLR1	HSP90B1	heat shock protein 90kDa beta (Grp94), member 1	TLR1	toll-like receptor 1	other
HSP90B1_TLR2	HSP90B1	heat shock protein 90kDa beta (Grp94), member 1	TLR2	toll-like receptor 2	other
HSP90B1_TLR4	HSP90B1	heat shock protein 90kDa beta (Grp94), member 1	TLR4	toll-like receptor 4	other
HSP90B1_TLR7	HSP90B1	heat shock protein 90kDa beta (Grp94), member 1	TLR7	toll-like receptor 7	other
HSP90B1_TLR9	HSP90B1	heat shock protein 90kDa beta (Grp94), member 1	TLR9	toll-like receptor 9	other
HSPA1A_GRIN2D	HSPA1A	heat shock 70kDa protein 1A	GRIN2D	glutamate receptor, ionotropic, N-methyl D-aspartate 2D	other
HSPA1A_TLR4	HSPA1A	heat shock 70kDa protein 1A	TLR4	toll-like receptor 4	other
HSPG2_CHRM3	HSPG2	heparan sulfate proteoglycan 2	CHRM3	cholinergic receptor, muscarinic 3	other
HSPG2_COL13A1	HSPG2	heparan sulfate proteoglycan 2	COL13A1	collagen, type XIII, alpha 1	other
HSPG2_ITGA2	HSPG2	heparan sulfate proteoglycan 2	ITGA2	integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)	other
HSPG2_ITGB1	HSPG2	heparan sulfate proteoglycan 2	ITGB1	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)	other
HSPG2_PTPRS	HSPG2	heparan sulfate proteoglycan 2	PTPRS	protein tyrosine phosphatase, receptor type, S	other
HSPG2_SDC1	HSPG2	heparan sulfate proteoglycan 2	SDC1	syndecan 1	other
IAPP_CALCR	IAPP	islet amyloid polypeptide	CALCR	calcitonin receptor	other
IAPP_RAMP1	IAPP	islet amyloid polypeptide	RAMP1	receptor (G protein-coupled) activity modifying protein 1	other
IAPP_RAMP2	IAPP	islet amyloid polypeptide	RAMP2	receptor (G protein-coupled) activity modifying protein 2	other
IAPP_RAMP3	IAPP	islet amyloid polypeptide	RAMP3	receptor (G protein-coupled) activity modifying protein 3	other
IBSP_ITGAV	IBSP	integrin-binding sialoprotein	ITGAV	integrin, alpha V	other
ICAM1_CAV1	ICAM1	intercellular adhesion molecule 1	CAV1	caveolin 1, caveolae protein, 22kDa	other
ICAM1_EGFR	ICAM1	intercellular adhesion molecule 1	EGFR	epidermal growth factor receptor	other
ICAM1_IL2RA	ICAM1	intercellular adhesion molecule 1	IL2RA	interleukin 2 receptor, alpha	other
ICAM1_IL2RG	ICAM1	intercellular adhesion molecule 1	IL2RG	interleukin 2 receptor, gamma	other
ICAM1_ITGAL	ICAM1	intercellular adhesion molecule 1	ITGAL	integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide)	other
ICAM1_ITGAM	ICAM1	intercellular adhesion molecule 1	ITGAM	integrin, alpha M (complement component 3 receptor 3 subunit)	other
ICAM1_ITGAX	ICAM1	intercellular adhesion molecule 1	ITGAX	integrin, alpha X (complement component 3 receptor 4 subunit)	other
ICAM1_ITGB2	ICAM1	intercellular adhesion molecule 1	ITGB2	integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)	other
ICAM2_ITGAL	ICAM2	intercellular adhesion molecule 2	ITGAL	integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide)	other
ICAM2_ITGAM	ICAM2	intercellular adhesion molecule 2	ITGAM	integrin, alpha M (complement component 3 receptor 3 subunit)	other
ICAM2_ITGB2	ICAM2	intercellular adhesion molecule 2	ITGB2	integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)	other
ICAM3_CLEC4M	ICAM3	intercellular adhesion molecule 3	CLEC4M	C-type lectin domain family 4, member M	other
ICAM3_ITGAD	ICAM3	intercellular adhesion molecule 3	ITGAD	integrin, alpha D	other
ICAM3_ITGAL	ICAM3	intercellular adhesion molecule 3	ITGAL	integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide)	other
ICAM3_ITGB2	ICAM3	intercellular adhesion molecule 3	ITGB2	integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)	other
ICAM4_ITGA2B	ICAM4	intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)	ITGA2B	integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41)	other
ICAM4_ITGA4	ICAM4	intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)	ITGA4	integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor)	other
ICAM4_ITGAL	ICAM4	intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)	ITGAL	integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide)	other
ICAM4_ITGAM	ICAM4	intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)	ITGAM	integrin, alpha M (complement component 3 receptor 3 subunit)	other
ICAM4_ITGAV	ICAM4	intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)	ITGAV	integrin, alpha V	other
ICAM4_ITGB1	ICAM4	intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)	ITGB1	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)	other
ICAM4_ITGB2	ICAM4	intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)	ITGB2	integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)	other
ICAM4_ITGB3	ICAM4	intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)	ITGB3	integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)	other
ICAM4_RHAG	ICAM4	intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)	RHAG	Rh-associated glycoprotein	other
ICAM5_ITGAL	ICAM5	intercellular adhesion molecule 5, telencephalin	ITGAL	integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide)	other
ICAM5_ITGB2	ICAM5	intercellular adhesion molecule 5, telencephalin	ITGB2	integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)	other
IFNA10_IFNAR1	IFNA10	interferon, alpha 10	IFNAR1	interferon (alpha, beta and omega) receptor 1	other
IFNA10_IFNAR2	IFNA10	interferon, alpha 10	IFNAR2	interferon (alpha, beta and omega) receptor 2	other
IFNA13_IFNAR1	IFNA13	interferon, alpha 13	IFNAR1	interferon (alpha, beta and omega) receptor 1	other
IFNA13_IFNAR2	IFNA13	interferon, alpha 13	IFNAR2	interferon (alpha, beta and omega) receptor 2	other
IFNA14_IFNAR1	IFNA14	interferon, alpha 14	IFNAR1	interferon (alpha, beta and omega) receptor 1	other
IFNA14_IFNAR2	IFNA14	interferon, alpha 14	IFNAR2	interferon (alpha, beta and omega) receptor 2	other
IFNA16_IFNAR1	IFNA16	interferon, alpha 16	IFNAR1	interferon (alpha, beta and omega) receptor 1	other
IFNA16_IFNAR2	IFNA16	interferon, alpha 16	IFNAR2	interferon (alpha, beta and omega) receptor 2	other
IFNA17_IFNAR1	IFNA17	interferon, alpha 17	IFNAR1	interferon (alpha, beta and omega) receptor 1	other
IFNA17_IFNAR2	IFNA17	interferon, alpha 17	IFNAR2	interferon (alpha, beta and omega) receptor 2	other
IFNA1_IFNAR1	IFNA1	interferon, alpha 1	IFNAR1	interferon (alpha, beta and omega) receptor 1	other
IFNA1_IFNAR2	IFNA1	interferon, alpha 1	IFNAR2	interferon (alpha, beta and omega) receptor 2	other
IFNA21_IFNAR1	IFNA21	interferon, alpha 21	IFNAR1	interferon (alpha, beta and omega) receptor 1	other
IFNA21_IFNAR2	IFNA21	interferon, alpha 21	IFNAR2	interferon (alpha, beta and omega) receptor 2	other
IFNA2_IFNAR1	IFNA2	interferon, alpha 2	IFNAR1	interferon (alpha, beta and omega) receptor 1	other
IFNA2_IFNAR2	IFNA2	interferon, alpha 2	IFNAR2	interferon (alpha, beta and omega) receptor 2	other
IFNA4_IFNAR1	IFNA4	interferon, alpha 4	IFNAR1	interferon (alpha, beta and omega) receptor 1	other
IFNA4_IFNAR2	IFNA4	interferon, alpha 4	IFNAR2	interferon (alpha, beta and omega) receptor 2	other
IFNA5_IFNAR1	IFNA5	interferon, alpha 5	IFNAR1	interferon (alpha, beta and omega) receptor 1	other
IFNA5_IFNAR2	IFNA5	interferon, alpha 5	IFNAR2	interferon (alpha, beta and omega) receptor 2	other
IFNA6_IFNAR1	IFNA6	interferon, alpha 6	IFNAR1	interferon (alpha, beta and omega) receptor 1	other
IFNA6_IFNAR2	IFNA6	interferon, alpha 6	IFNAR2	interferon (alpha, beta and omega) receptor 2	other
IFNA7_IFNAR1	IFNA7	interferon, alpha 7	IFNAR1	interferon (alpha, beta and omega) receptor 1	other
IFNA7_IFNAR2	IFNA7	interferon, alpha 7	IFNAR2	interferon (alpha, beta and omega) receptor 2	other
IFNA8_IFNAR1	IFNA8	interferon, alpha 8	IFNAR1	interferon (alpha, beta and omega) receptor 1	other
IFNA8_IFNAR2	IFNA8	interferon, alpha 8	IFNAR2	interferon (alpha, beta and omega) receptor 2	other
IFNB1_IFNAR1	IFNB1	interferon, beta 1, fibroblast	IFNAR1	interferon (alpha, beta and omega) receptor 1	other
IFNB1_IFNAR2	IFNB1	interferon, beta 1, fibroblast	IFNAR2	interferon (alpha, beta and omega) receptor 2	other
IFNG_IFNGR1	IFNG	interferon, gamma	IFNGR1	interferon gamma receptor 1	other
IFNG_IFNGR2	IFNG	interferon, gamma	IFNGR2	interferon gamma receptor 2 (interferon gamma transducer 1)	other
IFNL1_IFNLR1	IFNL1	interferon, lambda 1	IFNLR1	interferon, lambda receptor 1	other
IFNL1_IL10RB	IFNL1	interferon, lambda 1	IL10RB	interleukin 10 receptor, beta	other
IFNL2_IFNLR1	IFNL2	interferon, lambda 2	IFNLR1	interferon, lambda receptor 1	other
IFNL2_IL10RB	IFNL2	interferon, lambda 2	IL10RB	interleukin 10 receptor, beta	other
IFNL3_IFNLR1	IFNL3	interferon, lambda 3	IFNLR1	interferon, lambda receptor 1	other
IFNL3_IL10RB	IFNL3	interferon, lambda 3	IL10RB	interleukin 10 receptor, beta	other
IFNW1_IFNAR1	IFNW1	interferon, omega 1	IFNAR1	interferon (alpha, beta and omega) receptor 1	other
IFNW1_IFNAR2	IFNW1	interferon, omega 1	IFNAR2	interferon (alpha, beta and omega) receptor 2	other
IGF1_IGF1R	IGF1	insulin-like growth factor 1 (somatomedin C)	IGF1R	insulin-like growth factor 1 receptor	growth factor
IGF1_INSR	IGF1	insulin-like growth factor 1 (somatomedin C)	INSR	insulin receptor	growth factor
IGF2_IGF1R	IGF2	insulin-like growth factor 2 (somatomedin A)	IGF1R	insulin-like growth factor 1 receptor	growth factor
IGF2_IGF2R	IGF2	insulin-like growth factor 2 (somatomedin A)	IGF2R	insulin-like growth factor 2 receptor	growth factor
IGF2_INSR	IGF2	insulin-like growth factor 2 (somatomedin A)	INSR	insulin receptor	growth factor
IGFBP4_FZD8	IGFBP4	insulin-like growth factor binding protein 4	FZD8	frizzled class receptor 8	growth factor
IGFBP4_LRP6	IGFBP4	insulin-like growth factor binding protein 4	LRP6	low density lipoprotein receptor-related protein 6	growth factor
IGFL1_IGFLR1	IGFL1	IGF-like family member 1	IGFLR1	IGF-like family receptor 1	growth factor
IGFL2_IGFLR1	IGFL2	IGF-like family member 2	IGFLR1	IGF-like family receptor 1	growth factor
IGFL3_IGFLR1	IGFL3	IGF-like family member 3	IGFLR1	IGF-like family receptor 1	growth factor
IHH_BOC	IHH	indian hedgehog	BOC	BOC cell adhesion associated, oncogene regulated	other
IHH_CDON	IHH	indian hedgehog	CDON	cell adhesion associated, oncogene regulated	other
IHH_HHIP	IHH	indian hedgehog	HHIP	hedgehog interacting protein	other
IHH_PTCH1	IHH	indian hedgehog	PTCH1	patched 1	other
IHH_PTCH2	IHH	indian hedgehog	PTCH2	patched 2	other
IL10_IL10RA	IL10	interleukin 10	IL10RA	interleukin 10 receptor, alpha	cytokine
IL10_IL10RB	IL10	interleukin 10	IL10RB	interleukin 10 receptor, beta	cytokine
IL10_SIRPG	IL10	interleukin 10	SIRPG	signal-regulatory protein gamma	cytokine
IL11_IL11RA	IL11	interleukin 11	IL11RA	interleukin 11 receptor, alpha	cytokine
IL11_IL6ST	IL11	interleukin 11	IL6ST	interleukin 6 signal transducer (gp130, oncostatin M receptor)	cytokine
IL12A_CD28	IL12A	interleukin 12A (natural killer cell stimulatory factor 1, cytotoxic lymphocyte maturation factor 1, p35)	CD28	CD28 molecule	cytokine
IL12A_IL12RB1	IL12A	interleukin 12A (natural killer cell stimulatory factor 1, cytotoxic lymphocyte maturation factor 1, p35)	IL12RB1	interleukin 12 receptor, beta 1	cytokine
IL12A_IL12RB2	IL12A	interleukin 12A (natural killer cell stimulatory factor 1, cytotoxic lymphocyte maturation factor 1, p35)	IL12RB2	interleukin 12 receptor, beta 2	cytokine
IL12B_IL12RB1	IL12B	interleukin 12B (natural killer cell stimulatory factor 2, cytotoxic lymphocyte maturation factor 2, p40)	IL12RB1	interleukin 12 receptor, beta 1	cytokine
